Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
ORGANIC_SOLUTE_COTRANSPORTERS_ADENYLATE_TRANSLOCATOR_(BRITTLE-1)-LIKE_FAMILY	Organic Solute Cotransporters ,Adenylate translocator (brittle-1)-like family	1	736	OTH	11	AT4G32400	0.261497406840992	1
ANAC004_COLAMP_A	ANAC004_colamp_a(AT1G02230) Target genes predicted by DAP-seq	158	736	TFT	6806	AT1G49760//AT2G38195//AT2G40030//AT5G45140//AT3G63130//AT5G54910//AT5G44490//AT3G57660//AT4G31810//AT3G58270//AT1G08910//AT1G29940//AT5G61770//AT1G57720//AT4G29410//AT3G07430//AT1G36180//AT5G15750//AT1G74870//AT3G55510//AT1G17470//AT3G27180//AT5G53230//AT5G02870//AT5G14610//AT5G41765//AT2G21640//AT4G02820//AT3G06790//AT5G37130//AT3G49140//AT5G09330//AT4G12600//AT2G44120//AT4G02930//AT1G06560//AT5G27230//AT2G18180//AT1G27470//AT1G10450//AT5G14490//AT5G53540//AT1G07920//AT1G80620//AT1G47490//AT2G03820//AT1G12920//AT4G25740//AT3G27620//AT2G24560//AT4G24480//AT5G55150//AT2G18900//AT5G64420//AT2G06990//AT5G46160//AT5G58130//AT5G08620//AT5G22320//AT1G52980//AT1G73680//AT1G72320//AT1G77030//AT5G01445//AT1G69070//AT1G23410//AT2G10440//AT2G35240//AT5G03390//AT5G51330//AT5G05450//AT5G20890//AT5G60260//AT4G36130//AT5G36900//AT2G03130//AT5G24280//AT1G74060//AT2G39850//AT5G51020//AT5G42980//AT4G30150//AT2G04050//AT5G60250//AT5G56810//AT2G18190//AT3G06530//AT5G48120//AT1G06670//AT5G48240//AT3G57940//AT3G11710//AT3G05130//AT3G01160//AT1G11070//AT4G13750//AT1G49540//AT1G63660//AT3G47450//AT3G60500//AT4G05400//AT5G57490//AT5G51540//AT1G71770//AT2G31660//AT5G11840//AT2G18193//AT3G15460//AT3G03060//AT1G55040//AT5G55920//AT1G04170//AT5G62370//AT2G17670//AT4G29030//AT3G06200//AT5G55510//AT3G21950//AT3G49410//AT3G22320//AT3G23620//AT3G57350//AT1G30160//AT1G02750//AT1G80410//AT5G04150//AT1G52160//AT2G24255//AT3G24780//AT1G52315//AT3G02560//AT3G27740//AT1G73490//AT3G12670//AT4G19130//AT1G57660//AT5G17270//AT5G09995//AT1G70440//AT1G73700//AT5G02050//AT4G32510//AT1G48400//AT5G49560//AT3G62310//AT4G23540//AT3G26730//AT2G34570//AT3G12080//AT1G34030//AT3G20300//AT1G62390//AT1G47500//AT5G20160//AT5G37490//AT2G46230//AT3G13470//AT3G11250	0.923722053839398	1
CHROMATIN_ASSEMBLY	GO:0031497   chromatin assembly,    GOslim:biological_process	3	736	BP	77	AT1G74560//AT1G18800//AT4G25340	0.321978973428992	1
CARBOXYLIC_ACID_METABOLIC_PROCESS	GO:0019752   carboxylic acid metabolic process,    GOslim:biological_process	69	736	BP	2099	AT5G46160//AT3G42723//AT4G37910//AT5G24840//AT1G18080//AT3G04600//AT3G62120//AT2G33380//AT3G27740//AT3G60880//AT5G52520//AT2G30770//AT1G65230//AT3G20330//AT1G09620//AT5G57890//AT4G24830//AT4G31810//AT3G02760//AT5G27470//AT1G74560//AT3G52140//AT1G32550//AT1G14610//AT4G39040//AT1G29900//AT3G51130//AT1G67120//AT5G13830//AT3G11710//AT4G27640//AT1G36180//AT1G73680//AT3G30770//AT3G47450//AT3G60500//AT3G19440//AT3G07630//AT1G64660//AT5G20890//AT4G37380//AT1G14810//AT3G20050//AT3G23940//AT2G33840//AT4G28030//AT5G51540//AT5G46790//AT4G25730//AT3G03630//AT1G63660//AT5G58370//AT5G56680//AT1G19150//AT1G64550//AT2G35500//AT5G39740//AT3G14390//AT1G30580//AT1G26630//AT5G37490//AT3G49140//AT5G13280//AT5G63890//AT1G25350//AT5G10240//AT4G31180//AT4G00620//AT1G17960	0.0222715982097476	1
AT2G03500_COL_A	At2g03500_col_a(AT2G03500) Target genes predicted by DAP-seq	192	736	TFT	9700	AT1G72440//AT1G64660//AT1G51380//AT2G40030//AT5G40670//AT3G09500//AT5G47455//AT1G48570//AT2G16650//AT5G54910//AT3G57660//AT3G21540//AT4G30990//AT4G15850//AT4G31810//AT3G28270//AT4G18905//AT1G16960//AT1G08910//AT4G37090//AT2G46280//AT1G29940//AT5G61770//AT3G28070//AT2G19385//AT1G63780//AT5G22650//AT5G11410//AT3G56150//AT5G30490//AT4G36580//AT3G45430//AT4G27490//AT2G18900//AT1G29720//AT2G24120//AT4G09800//AT1G15250//AT5G64420//AT5G39840//AT5G57050//AT2G04070//AT1G79190//AT5G16130//AT5G15420//AT5G60960//AT2G21640//AT4G02820//AT1G30580//AT5G39850//AT2G03670//AT5G37130//AT5G60360//AT3G49140//AT2G34357//AT1G25350//AT3G18610//AT2G47990//AT4G00620//AT5G40770//AT5G65860//AT5G17710//AT3G10610//AT5G27230//AT5G24840//AT3G01610//AT4G16630//AT1G79950//AT1G10450//AT2G20800//AT1G65230//AT5G44320//AT5G53540//AT1G80620//AT2G44860//AT2G24050//AT5G14580//AT1G77550//AT5G44980//AT1G51310//AT2G42720//AT3G19630//AT4G19210//AT5G53860//AT1G09620//AT3G13150//AT5G23900//AT4G07410//AT1G14060//AT3G52140//AT2G15000//AT1G52980//AT5G57030//AT3G16650//AT1G77030//AT4G32400//AT4G15000//AT3G19440//AT3G27550//AT2G29200//AT3G29633//AT2G17250//AT3G56490//AT3G62940//AT4G27640//AT5G24280//AT1G27510//AT1G32580//AT4G05380//AT3G56120//AT4G05410//AT3G60980//AT4G28450//AT5G57890//AT4G08868//AT4G30150//AT1G09640//AT2G38310//AT1G32550//AT1G29900//AT3G06530//AT3G20300//AT5G23710//AT5G09840//AT2G18020//AT1G63660//AT3G60500//AT3G22660//AT5G41190//AT5G34869//AT1G27470//AT1G57720//AT2G05220//AT1G23280//AT2G21440//AT2G31660//AT2G25640//AT3G53630//AT5G46790//AT3G11940//AT4G31700//AT4G21770//AT3G16840//AT1G67120//AT5G17270//AT5G13940//AT5G55510//AT1G62540//AT1G15440//AT1G07940//AT3G57350//AT1G30160//AT3G56570//AT3G20330//AT3G12860//AT1G52160//AT1G20400//AT3G24780//AT4G21900//AT4G32510//AT3G09680//AT2G06990//AT1G30960//AT1G73490//AT4G37980//AT3G11410//AT1G47490//AT2G04030//AT3G05030//AT1G70440//AT1G26880//AT5G23300//AT3G56070//AT1G07930//AT4G01860//AT3G62310//AT3G26730//AT3G09630//AT1G62390//AT4G13150//AT4G32720//AT5G48120//AT2G37270//AT5G10240//AT5G56680//AT3G58660//AT1G29395//AT5G20160//AT5G06360//AT2G23350//AT1G07430//AT1G02870	0.999995775441288	1
NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	GO:0051346   negative regulation of hydrolase activity,    GOslim:biological_process	1	736	BP	11	AT2G35580	0.261497406840992	1
MEMBRANE-BOUNDED_VESICLE	GO:0031988   membrane-bounded vesicle,    GOslim:cellular_component	1	736	CC	68	AT1G17470	0.82530415346772	1
AMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0005275   amine transmembrane transporter activity,    GOslim:molecular_function	1	736	MF	77	AT2G41190	0.860903144865672	1
FOLIC_ACID-CONTAINING_COMPOUND_METABOLIC_PROCESS	GO:0006760   folic acid-containing compound metabolic process,    GOslim:biological_process	1	736	BP	65	AT4G00620	0.811520468281407	1
TRANSFERASE_ACTIVITY,_TRANSFERRING_PHOSPHORUS-CONTAINING_GROUPS	GO:0016772   transferase activity, transferring phosphorus-containing groups,    GOslim:molecular_function	29	736	MF	1585	AT3G06200//AT2G34970//AT2G40030//AT1G60850//AT3G22320//AT5G45140//AT1G68990//AT2G23070//AT3G57660//AT5G27620//AT5G14580//AT4G24480//AT1G29940//AT3G51270//AT5G64420//AT3G49500//AT5G11410//AT3G45430//AT2G29540//AT1G29720//AT1G30680//AT1G57870//AT3G54090//AT2G24120//AT2G35500//AT3G13940//AT5G23710//AT5G13280//AT3G47580	0.977452236790452	1
