"set","log2fc","minuslogpv","proteinids","majorityproteinids","fastaheaders","numberofproteins","peptides","uniquepeptides","sequencecoveragep","moldotweightkda","qhvalue","score","idsfrondevi","evidenceids","chrinfo","proj","experiment","username","foldchange","pvalue","analyinfo"
"compare1up","1.9317495944765226,-0.1540757400923884","3.8565978728795116,0.13340311463559495","LOC_Os01g08410.1","LOC_Os01g08410.1",">LOC_Os01g08410.1 protein|early fruit mRNA, putative, expressed","1.0","6.0","6.0","21.1","35.283","nan","27.589","84.0","8588;8589;8590;8591;8592;8593;8594;8595;8596;116246;119236;119237;119238;119239;119240;119241;119242;249845;249846;249847;320680;320681;320682;320683;320684;320685;320686;320687;320688;320689;320690;320691;320692;320693;320694;320695;320696;320697;320698;320699;320700;320701;320702;320703","LOC_Os01g08410.1:Chr1:4123751","forPPT","PPT1projLFQ_AnI;A1","ppt","1.9317495944765226,-0.1540757400923884","0.021139797599432616,  0.8751122504397881","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1up","1.6341142409679192,0.5399932726887391","4.109301787059985,1.1290775612165487","LOC_Os01g59600.2;LOC_Os01g59600.1","LOC_Os01g59600.2;LOC_Os01g59600.1",">LOC_Os01g59600.2 protein|peptidase, T1 family, putative, expressed;>LOC_Os01g59600.1 protein|peptidase, T1 family, putative, expressed","2.0","6.0","3.0","28.1","27.238","nan","17.885","467.0","70051;221086;221087;221088;221089;221090;221091;225018;225019;225020;225021;225022;225023;486870;486871;486872;486873;486874;486875;486876;486877;486878;486879;486880;486881;511759;511760;511761;511762;511763;511764;511765;511766;511767;547535","LOC_Os01g59600.2:Chr1:34471664^^LOC_Os01g59600.1:Chr1:34471664","forPPT","PPT1projLFQ_AnI;A1","ppt","1.6341142409679192,0.5399932726887391","0.01641923464712053,  0.32333137230200737","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1up","2.3714306755080625,1.4225971775197772","3.195235291672391,2.778151161331508","LOC_Os03g44880.1","LOC_Os03g44880.1",">LOC_Os03g44880.1 protein|Cupin domain containing protein, expressed","1.0","5.0","3.0","21.6","23.552","nan","15.729","1511.0","156160;156161;156162;156163;156164;156165;175763;175764;175765;175766;175767;175768;175769;175770;175771;212932;212933;212934;212935;212936;212937;212938;212939;212940;212941;212942;212943;212944;212945;212946;312741;312742;312743;312744;312745;312746;312747;312748;312749;312750;312751;312752;312753;312754;312755;312756;312757;312758;470810;470811;470812;470813;470814;470815;470816;470817;470818;470819;470820;470821;470822;470823;470824;470825","LOC_Os03g44880.1:Chr3:25315697","forPPT","PPT1projLFQ_AnI;A1","ppt","2.3714306755080625,1.4225971775197772","0.040956887427724104,  0.06215331266425765","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1up","2.2222050062658463,1.43576085766103","5.4658713479656935,1.7580543398194364","LOC_Os05g09490.2;LOC_Os05g09490.1","LOC_Os05g09490.2;LOC_Os05g09490.1",">LOC_Os05g09490.2 protein|peptidase, T1 family, putative, expressed;>LOC_Os05g09490.1 protein|peptidase, T1 family, putative, expressed","2.0","4.0","4.0","16.2","28.997","nan","5.3099","2207.0","54698;54699;99205;99206;182570;182571;182572;182573;182574;182575;532416;532417;532418;532419;532420;532421;532422;532423;532424;532425;532426;532427;532428;532429;532430;532431;532432;532433;532434;532435","LOC_Os05g09490.2:Chr5:5334400^^LOC_Os05g09490.1:Chr5:5334400","forPPT","PPT1projLFQ_AnI;A1","ppt","2.2222050062658463,1.43576085766103","0.004228654811501468,  0.1723799305211255","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1up","2.0561303715492287,1.5305013560183056","3.532372288097572,1.583634241669221","LOC_Os09g29490.1","LOC_Os09g29490.1",">LOC_Os09g29490.1 protein|peroxidase precursor, putative, expressed","1.0","11.0","11.0","35.8","38.553","nan","100.05","3553.0","16699;19978;19979;19980;19981;19982;19983;19984;19985;69268;69269;69270;69271;69272;69273;69274;69275;74643;74644;74645;74646;74647;74648;74649;74650;74651;74652;74653;74654;74655;74656;74657;97315;97316;97317;97318;97319;130014;157889;157890;157891;157892;157893;157894;157895;157896;157897;157898;157899;157900;157901;157902;253710;253711;253712;253713;253714;253715;253716;253717;253718;253719;253720;253721;253722;253723;289210;289211;289212;289213;289214;289215;289216;289217;289218;289219;289220;289221;289222;289223;289224;405142;405143;405144;405145;405146;405147;405148;405149;405150;405151;405152;405153;405154;405155;405156;492866;492867;492868;492869;492870;492871;492872;492873;492874;492875;492876;492877","LOC_Os09g29490.1:Chr9:17935412","forPPT","PPT1projLFQ_AnI;A1","ppt","2.0561303715492287,1.5305013560183056","0.029235478559143196,  0.20522789350380066","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1up","1.8758130406258389,1.0820503077738468","3.469855583008869,0.9988389911450295","LOC_Os12g42550.2;LOC_Os12g42550.1","LOC_Os12g42550.2;LOC_Os12g42550.1",">LOC_Os12g42550.2 protein|methyl-CpG binding domain containing protein, putative, expressed;>LOC_Os12g42550.1 protein|methyl-CpG binding domain containing protein, putative, expressed","2.0","19.0","19.0","84.9","31.036","nan","113.89","4207.0","306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;14827;14828;14829;14830;14831;14832;14833;14834;14835;14836;14837;14838;14839;14840;14841;14842;14843;14844;14845;14846;14847;14848;14849;14850;14851;14852;14853;14854;14855;14856;14857;14858;14859;14860;14861;14862;14863;14864;23827;23828;23829;23830;23831;23832;23833;23834;23835;23836;23837;23838;23839;23840;23841;23842;23843;23844;23845;23846;23847;23848;23849;23850;23851;23852;23853;23854;23855;23856;23857;23858;23859;23860;23861;23862;23863;23864;53961;53962;53963;53964;97758;97759;97760;97761;97762;97763;97764;97953;97954;116331;120850;120851;120852;120853;120854;120855;120856;120857;120858;120859;120860;120861;120862;120863;120864;120865;120866;120867;120868;120869;120870;120871;120872;120873;128023;128024;128025;128026;128027;128028;128029;128030;128031;128032;128033;128034;128035;128036;128037;128038;128039;161739;161740;161741;161742;252560;252561;252562;252563;252564;385856;385857;385858;385859;385860;385861;438542;438543;438544;498680;498681;498682;498683;498684;498685;498686;498687;498688;498689;498690;498691;498692;498693;498694;498695;498696;498697;498698;498699;498700;498701;498702;498703;498704;498705","LOC_Os12g42550.2:Chr12:26429821^^LOC_Os12g42550.1:Chr12:26429821","forPPT","PPT1projLFQ_AnI;A1","ppt","1.8758130406258389,1.0820503077738468","0.031121524813510038,  0.3683068004961795","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1down","-1.5659214778966621,-0.5226737272759211","4.853568255205965,0.508209237498898","LOC_Os03g02750.1","LOC_Os03g02750.1",">LOC_Os03g02750.1 protein|OsSub25 - Putative Subtilisin homologue, expressed","1.0","7.0","7.0","12.5","79.371","nan","23.559","1153.0","27965;27966;27967;44462;44463;44464;306482;306483;306484;306485;306486;306487;306488;306489;306490;306491;306492;306493;306494;306495;306496;372814;372815;372816;372817;372818;372819;372820;398826;398827;398828;398829;398830;398831;398832;398833;398834;398835;417386;417387;417388;417389;417390;417391;417392;417393;417394;417395;417396;417397;541619;541620;541621;541622","LOC_Os03g02750.1:Chr3:1034299","forPPT","PPT1projLFQ_AnI;A1","ppt","-1.5659214778966621,-0.5226737272759211","0.007800493678251184,  0.6015718871955985","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1down","-1.9147886754187127,-0.9515740056376538","4.052684467670682,2.7700673275233676","LOC_Os03g48180.1","LOC_Os03g48180.1",">LOC_Os03g48180.1 protein|peptide transporter PTR2, putative, expressed","1.0","6.0","6.0","12.4","63.562","nan","18.176","1538.0","4583;4584;4585;4586;4587;4588;4589;18650;18651;18652;18653;18654;18655;18656;89011;89012;89013;89014;89015;89016;379233;379234;379235;379236;379237;379238;379239;379240;379241;379242;379243;379244;379245;379246;379247;520744;520745;520746;520747;520748;520749;521808;521809;521810;521811;521812;521813;521814;521815;521816;521817;521818;521819;521820;521821;521822;521823","LOC_Os03g48180.1:Chr3:27418541","forPPT","PPT1projLFQ_AnI;A1","ppt","-1.9147886754187127,-0.9515740056376538","0.017375667557901566,  0.06265778600658471","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1down","-2.208117738447291,0.9616312341813087","6.8414529162987385,2.3742784160859367","LOC_Os04g56430.1","LOC_Os04g56430.1",">LOC_Os04g56430.1 protein|cysteine-rich receptor-like protein kinase, putative, expressed","1.0","12.0","11.0","59.7","27.306","nan","105.1","2083.0","1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;29339;29340;29341;29342;29343;29344;29345;29346;29347;29348;29349;29350;29351;29352;29353;29354;29355;29356;29357;29358;29359;29360;29361;29362;29363;29364;29365;29366;29367;29368;77208;77209;77210;77211;77212;92631;92632;92633;153415;153416;153417;153418;153419;153420;153421;153422;153423;153424;153425;153426;153427;153428;153429;153430;153431;259392;259393;259394;282505;282506;282507;282508;282509;282510;282511;282512;282513;282514;282515;282516;282517;282518;282519;282520;282521;282522;282523;282524;282525;282526;282527;282528;282529;299919;299920;299921;299922;299923;299924;299925;299926;299927;299928;299929;299930;299931;299932;299933;299934;299935;299936;299937;299938;299939;299940;299941;299942;299943;299944;299945;299946;299947;299948;299949;299950;299951;317965;317966;317967;317968;317969;317970;317971;404607;404608;404609;404610;404611;404612;404613;404614;404615;404616;404617;404618;404619;404620;404621;404622;404623;404624;404625;404626;404627;404628;404629;404630;404631;487838;487839;487840;487841;487842;487843;487844;487845;487846;487847;487848;487849;487850;487851;487852;487853;541772;541773;541774;541775;541776;541777;541778;541779;541780;541781;541782;541783;541784;541785;541786;541787;541788;541789;541790;541791","LOC_Os04g56430.1:Chr4:33641353","forPPT","PPT1projLFQ_AnI;A1","ppt","-2.208117738447291,0.9616312341813087","0.001068549757897944,  0.09308163119122599","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
"compare1similar","-0.35961197245746374,-0.23629881448404097","3.2428194577529834,2.6176891103956086","LOC_Os01g06600.2;LOC_Os01g06600.1","LOC_Os01g06600.2;LOC_Os01g06600.1",">LOC_Os01g06600.2 protein|glutaryl-CoA dehydrogenase, mitochondrial precursor, putative, expressed;>LOC_Os01g06600.1 protein|glutaryl-CoA dehydrogenase, mitochondrial precursor, putative, expressed","2.0","12.0","10.0","48.2","39.975","nan","47.844","67.0","12698;12699;12700;12701;12702;12703;12704;12705;12706;12707;12708;12709;12710;12711;12712;12713;12714;12715;12716;12717;12718;12719;12720;12721;12722;12723;12724;12725;12726;12727;12728;14515;14516;14517;14518;104186;104187;104188;104189;104190;104191;104192;104193;104194;104195;104196;104197;104198;104199;104200;104201;105722;105723;105724;105725;105726;105727;105728;105729;105730;105731;105732;109988;109989;109990;109991;109992;109993;109994;109995;109996;109997;109998;109999;110000;110001;110002;110003;110004;320465;320466;320467;320468;320469;320470;320471;320472;320473;320474;320475;320476;320477;320478;320479;320480;320481;352650;352651;352652;352653;352654;352655;352656;352657;352658;352659;385575;385576;385577;385578;385579;385580;385581;385582;487483;487484;487485;487486;487487;487488;487489;487490;487491;487492;487493;487494;487495;487496;487497;487498;487499;538529;538530;538531;538532;538533;538534;538535;538536;538537;538538;538539;538540;538541;554307","LOC_Os01g06600.2:Chr1:3112169^^LOC_Os01g06600.1:Chr1:3113800","forPPT","PPT1projLFQ_AnI;A1","ppt","-0.35961197245746374,-0.23629881448404097","0.03905362966871912,  0.07297129674745481","forPPTPPT1projLFQ_AnI;A1Exp00;3,4,5,Exp01;0,1,2,Exp10;3,4,5,Exp11;6,7,83333"
